date,hour,predicted_temperature,actual_temperature
2024-01-01,0,14.665024,14.462945556640648
2024-01-01,1,14.292411,14.115136718750025
2024-01-01,2,14.634056,13.870507812500025
2024-01-01,3,15.648117,15.66529235839846
2024-01-01,4,18.284584,19.54248962402346
2024-01-01,5,22.642359,22.42501220703128
2024-01-01,6,24.841963,24.681069946289085
2024-01-01,7,26.280582,25.941918945312523
2024-01-01,8,26.947971,26.778909301757835
2024-01-01,9,27.425907,27.333078002929707
2024-01-01,10,27.59436,27.488839721679707
2024-01-01,11,27.123466,27.231683349609398
2024-01-01,12,26.18632,26.17136535644533
2024-01-01,13,24.38609,24.372979736328148
2024-01-01,14,22.6455,22.4804626464844
2024-01-01,15,21.033485,21.187905883789085
2024-01-01,16,20.245659,20.132714843750023
2024-01-01,17,19.268639,19.14563903808596
2024-01-01,18,18.381315,18.296441650390648
2024-01-01,19,17.666103,17.49653015136721
2024-01-01,20,16.901863,16.918267822265648
2024-01-01,21,16.433796,16.411523437500023
2024-01-01,22,16.031729,15.988671875000025
2024-01-01,23,15.699389,15.688272094726585
2024-01-02,0,15.450706,15.442697143554712
2024-01-02,1,15.211828,15.274835205078146
2024-01-02,2,15.40561,15.186334228515646
2024-01-02,3,16.802467,16.52497253417971
2024-01-02,4,19.03989,19.814263916015648
2024-01-02,5,22.790333,22.27073059082033
2024-01-02,6,24.348196,24.33689270019533
2024-01-02,7,25.915874,25.6755310058594
2024-01-02,8,26.76051,26.70774230957033
2024-01-02,9,27.46348,27.299508666992207
2024-01-02,10,27.539082,27.477792358398457
2024-01-02,11,27.0397,27.243630981445328
2024-01-02,12,26.174023,26.093072509765648
2024-01-02,13,24.25519,23.997613525390648
2024-01-02,14,22.119215,22.511804199218773
2024-01-02,15,21.357374,21.388543701171898
2024-01-02,16,20.486927,20.341729736328148
2024-01-02,17,19.545734,19.327508544921898
2024-01-02,18,18.552399,18.371179199218773
2024-01-02,19,17.710035,17.168542480468773
2024-01-02,20,16.376759,16.483392333984398
2024-01-02,21,15.954839,15.834344482421898
2024-01-02,22,15.399569,15.251489257812525
2024-01-02,23,14.942212,14.718423461914083
2024-01-03,0,14.45779,14.231179809570335
2024-01-03,1,14.130432,13.842767333984398
2024-01-03,2,14.791816,13.530389404296898
2024-01-03,3,15.812224,15.161737060546896
2024-01-03,4,17.36406,19.070230102539085
2024-01-03,5,22.04665,21.79346618652346
2024-01-03,6,24.093166,23.971353149414085
2024-01-03,7,25.51212,25.00299987792971
2024-01-03,8,25.846674,25.742593383789085
2024-01-03,9,26.391037,26.317468261718773
2024-01-03,10,26.639399,26.413125610351585
2024-01-03,11,26.046394,26.133966064453148
2024-01-03,12,25.116634,24.918496704101585
2024-01-03,13,23.062323,23.04602966308596
2024-01-03,14,21.409164,21.322442626953148
2024-01-03,15,20.024439,20.057733154296898
2024-01-03,16,19.096085,18.90076599121096
2024-01-03,17,17.987799,17.868264770507835
2024-01-03,18,17.099888,16.961709594726585
2024-01-03,19,16.29691,16.287866210937523
2024-01-03,20,15.821531,15.910546875000025
2024-01-03,21,15.581384,15.616540527343773
2024-01-03,22,15.370475,15.378411865234396
2024-01-03,23,15.202696,15.132348632812526
2024-01-04,0,14.951838,14.92456970214846
2024-01-04,1,14.767633,14.74537048339846
2024-01-04,2,14.999758,14.565225219726583
2024-01-04,3,15.915462,15.622369384765648
2024-01-04,4,17.943745,18.46091613769533
2024-01-04,5,21.187565,20.905603027343773
2024-01-04,6,23.144169,22.98133239746096
2024-01-04,7,24.58237,24.384606933593773
2024-01-04,8,25.499443,25.502297973632835
2024-01-04,9,26.29053,26.15949401855471
2024-01-04,10,26.435635,26.27350769042971
2024-01-04,11,25.850271,25.810479736328148
2024-01-04,12,24.590197,24.35096130371096
2024-01-04,13,22.241581,22.0532165527344
2024-01-04,14,20.268652,20.38587341308596
2024-01-04,15,19.157703,19.069985961914085
2024-01-04,16,18.089495,17.90491638183596
2024-01-04,17,17.073795,16.825921630859398
2024-01-04,18,16.003502,15.951440429687525
2024-01-04,19,15.306616,15.314660644531271
2024-01-04,20,14.870249,14.883966064453146
2024-01-04,21,14.5886135,14.609826660156273
2024-01-04,22,14.431475,14.397943115234398
2024-01-04,23,14.296808,14.20887145996096
2024-01-05,0,14.256036,14.05481872558596
2024-01-05,1,14.350299,13.941003417968773
2024-01-05,2,14.72354,13.866357421875025
2024-01-05,3,15.226486,15.366113281250025
2024-01-05,4,17.49381,18.37056884765628
2024-01-05,5,21.01438,20.887979125976585
2024-01-05,6,23.1133,23.00728759765628
2024-01-05,7,24.623549,24.154718017578148
2024-01-05,8,25.066736,25.146539306640648
2024-01-05,9,25.825157,25.670251464843773
2024-01-05,10,25.861317,25.862161254882835
2024-01-05,11,25.49188,25.582315063476585
2024-01-05,12,24.490992,24.37116394042971
2024-01-05,13,22.477331,22.24726257324221
2024-01-05,14,20.511091,20.706170654296898
2024-01-05,15,19.524448,19.532510375976585
2024-01-05,16,18.58738,18.461541748046898
2024-01-05,17,17.651625,17.479043579101585
2024-01-05,18,16.746487,16.603570556640648
2024-01-05,19,15.965001,15.728372192382835
2024-01-05,20,15.173461,15.35688171386721
2024-01-05,21,15.035233,15.126321411132835
2024-01-05,22,14.9099455,14.967630004882835
2024-01-05,23,14.83414,14.78070983886721
2024-01-06,0,14.663962,14.576440429687525
2024-01-06,1,14.552581,14.345727539062525
2024-01-06,2,14.742611,14.143151855468773
2024-01-06,3,15.739167,15.317010498046896
2024-01-06,4,17.557718,18.08052978515628
2024-01-06,5,20.703709,20.49067077636721
2024-01-06,6,22.721546,22.567666625976585
2024-01-06,7,24.17247,23.911660766601585
2024-01-06,8,24.984987,24.95896301269533
2024-01-06,9,25.701567,25.59107360839846
2024-01-06,10,25.874058,25.795037841796898
2024-01-06,11,25.476664,25.46968994140628
2024-01-06,12,24.388083,24.1310974121094
2024-01-06,13,22.099514,21.87513122558596
2024-01-06,14,20.11388,20.330361938476585
2024-01-06,15,19.152802,19.207620239257835
2024-01-06,16,18.281488,18.387292480468773
2024-01-06,17,17.7448,17.83783874511721
2024-01-06,18,17.354177,17.529885864257835
2024-01-06,19,17.214087,16.846170043945335
2024-01-06,20,16.283485,16.571557617187523
2024-01-06,21,16.365358,16.24921569824221
2024-01-06,22,15.932124,15.908044433593771
2024-01-06,23,15.612953,15.603921508789083
2024-01-07,0,15.312079,15.407434082031275
2024-01-07,1,15.202892,15.119119262695333
2024-01-07,2,16.071201,14.927499389648462
2024-01-07,3,16.688463,16.030313110351585
2024-01-07,4,18.37087,18.348672485351585
2024-01-07,5,20.79376,20.7067810058594
2024-01-07,6,22.859394,22.823999023437523
2024-01-07,7,24.472122,23.913735961914085
2024-01-07,8,24.770052,25.118218994140648
2024-01-07,9,25.991974,25.70212707519533
2024-01-07,10,25.955418,25.961022949218773
2024-01-07,11,25.662663,25.815942382812523
2024-01-07,12,24.904774,24.927026367187523
2024-01-07,13,23.313057,23.25238952636721
2024-01-07,14,21.541948,22.06662902832033
2024-01-07,15,21.07737,21.181237792968773
2024-01-07,16,20.359007,20.718667602539085
2024-01-07,17,20.324831,20.320352172851585
2024-01-07,18,19.869196,20.14930114746096
2024-01-07,19,19.954033,18.9367614746094
2024-01-07,20,18.039032,18.6298767089844
2024-01-07,21,18.605093,18.302880859375023
2024-01-07,22,17.938152,18.123681640625023
2024-01-07,23,17.947208,17.980279541015648
2024-01-08,0,17.814766,18.17041931152346
2024-01-08,1,18.353495,18.178308105468773
2024-01-08,2,18.799469,18.31122741699221
2024-01-08,3,19.637245,19.112603759765648
2024-01-08,4,20.540314,20.54749450683596
2024-01-08,5,22.175982,22.1091247558594
2024-01-08,6,23.48554,23.6686950683594
2024-01-08,7,24.906055,24.369973754882835
2024-01-08,8,24.889467,25.293756103515648
2024-01-08,9,25.982227,26.2307067871094
2024-01-08,10,26.726816,26.675225830078148
2024-01-08,11,26.6385,26.47400817871096
2024-01-08,12,25.78242,25.572671508789085
2024-01-08,13,24.268894,23.962075805664085
2024-01-08,14,22.328182,22.993325805664085
2024-01-08,15,22.405893,22.402368164062523
2024-01-08,16,21.82461,22.2202087402344
2024-01-08,17,22.01588,21.6623474121094
2024-01-08,18,21.115858,20.98459777832033
2024-01-08,19,20.604864,20.38849792480471
2024-01-08,20,20.049324,20.04004821777346
2024-01-08,21,19.848019,19.779077148437523
2024-01-08,22,19.525795,19.34250793457033
2024-01-08,23,18.938622,19.221475219726585
2024-01-09,0,19.158361,18.867791748046898
2024-01-09,1,18.661835,18.634912109375023
2024-01-09,2,19.575645,18.450036621093773
2024-01-09,3,19.51371,19.219323730468773
2024-01-09,4,20.704098,20.79779968261721
2024-01-09,5,22.41901,22.49143371582033
2024-01-09,6,23.948038,24.04059753417971
2024-01-09,7,25.38643,26.2390075683594
2024-01-09,8,28.006338,27.21460876464846
2024-01-09,9,27.868616,27.92952880859377
2024-01-09,10,28.329266,28.0944763183594
2024-01-09,11,28.01445,27.91054687500002
2024-01-09,12,27.368973,26.87403259277346
2024-01-09,13,25.44671,25.178872680664085
2024-01-09,14,23.401758,24.0712829589844
2024-01-09,15,23.25721,23.056008911132835
2024-01-09,16,22.21034,22.17844543457033
2024-01-09,17,21.582594,21.66965637207033
2024-01-09,18,21.290768,21.1389099121094
2024-01-09,19,20.742485,19.464715576171898
2024-01-09,20,18.367361,19.108270263671898
2024-01-09,21,18.826183,18.833428955078148
2024-01-09,22,18.51477,18.634545898437523
2024-01-09,23,18.463455,18.473733520507835
2024-01-10,0,18.350624,18.327539062500023
2024-01-10,1,18.27676,18.182290649414085
2024-01-10,2,18.932695,17.897744750976585
2024-01-10,3,19.039522,18.861489868164085
2024-01-10,4,20.638943,20.80664978027346
2024-01-10,5,22.784628,22.755395507812523
2024-01-10,6,24.476402,24.539392089843773
2024-01-10,7,25.99322,25.838418579101585
2024-01-10,8,26.923744,26.864190673828148
2024-01-10,9,27.700407,27.52671203613283
2024-01-10,10,27.869244,27.744134521484398
2024-01-10,11,27.594856,27.564828491210957
2024-01-10,12,26.853619,26.68374023437502
2024-01-10,13,25.324928,24.863137817382835
2024-01-10,14,23.064445,23.44715270996096
2024-01-10,15,22.48557,22.326776123046898
2024-01-10,16,21.505472,21.297235107421898
2024-01-10,17,20.611185,20.414697265625023
2024-01-10,18,19.82335,19.62641296386721
2024-01-10,19,19.123245,18.498681640625023
2024-01-10,20,17.722317,17.88227233886721
2024-01-10,21,17.452545,17.380654907226585
2024-01-10,22,16.958927,16.998925781250023
2024-01-10,23,16.646276,16.648904418945335
2024-01-11,0,16.365051,16.372155761718773
2024-01-11,1,16.189545,16.20441589355471
2024-01-11,2,16.470167,16.093072509765648
2024-01-11,3,17.629833,17.459588623046898
2024-01-11,4,19.698414,20.26755676269533
2024-01-11,5,22.939806,22.83521423339846
2024-01-11,6,25.03692,25.03536376953128
2024-01-11,7,26.756405,26.680230712890648
2024-01-11,8,27.995543,27.83298645019533
2024-01-11,9,28.684977,28.547341918945328
2024-01-11,10,28.867962,28.768960571289085
2024-01-11,11,28.419634,28.49192199707033
2024-01-11,12,27.429539,27.30892333984377
2024-01-11,13,25.43617,25.23166809082033
2024-01-11,14,23.195765,23.4982849121094
2024-01-11,15,22.169903,22.17347106933596
2024-01-11,16,21.175808,21.03986511230471
2024-01-11,17,20.21554,20.029580688476585
