date,hour,predicted_temperature,actual_temperature
2024-01-01,0,14.781295,14.488336181640648
2024-01-01,1,14.565172,14.245996093750025
2024-01-01,2,14.951267,14.143945312500025
2024-01-01,3,16.188354,15.938729858398458
2024-01-01,4,18.765156,19.76709899902346
2024-01-01,5,22.649529,22.68087158203128
2024-01-01,6,25.007172,24.872476196289085
2024-01-01,7,26.420364,26.002465820312523
2024-01-01,8,26.979265,26.792581176757835
2024-01-01,9,27.384125,27.34870300292971
2024-01-01,10,27.74301,27.49274597167971
2024-01-01,11,27.42907,27.2199645996094
2024-01-01,12,26.365305,26.17136535644533
2024-01-01,13,24.5551,24.363214111328148
2024-01-01,14,22.741104,22.4687438964844
2024-01-01,15,21.07716,21.170327758789085
2024-01-01,16,20.165823,20.105371093750023
2024-01-01,17,19.154985,19.12024841308596
2024-01-01,18,18.280375,18.265191650390648
2024-01-01,19,17.68892,17.43403015136721
2024-01-01,20,16.975351,16.885064697265648
2024-01-01,21,16.60866,16.456445312500023
2024-01-01,22,16.24145,16.127343750000023
2024-01-01,23,15.966731,15.858193969726583
2024-01-02,0,15.794143,15.614572143554708
2024-01-02,1,15.580531,15.479913330078148
2024-01-02,2,16.204006,15.414849853515648
2024-01-02,3,17.394592,16.72028503417971
2024-01-02,4,19.439877,19.909967041015648
2024-01-02,5,22.801754,22.37619934082033
2024-01-02,6,24.452787,24.42087707519533
2024-01-02,7,26.003977,25.6677185058594
2024-01-02,8,26.659492,26.68039855957033
2024-01-02,9,27.336039,27.26435241699221
2024-01-02,10,27.636816,27.43872985839846
2024-01-02,11,27.361506,27.19480285644533
2024-01-02,12,26.35601,26.089166259765648
2024-01-02,13,24.568396,23.995660400390648
2024-01-02,14,22.330854,22.490319824218773
2024-01-02,15,21.37373,21.347528076171898
2024-01-02,16,20.340452,20.288995361328148
2024-01-02,17,19.374605,19.261102294921898
2024-01-02,18,18.462927,18.308679199218773
2024-01-02,19,17.711252,17.100183105468773
2024-01-02,20,16.569792,16.426751708984398
2024-01-02,21,16.096,15.797235107421898
2024-01-02,22,15.569531,15.255395507812525
2024-01-02,23,15.129124,14.802407836914083
2024-01-03,0,14.789133,14.444070434570335
2024-01-03,1,14.498097,14.202142333984398
2024-01-03,2,15.445156,14.038201904296898
2024-01-03,3,16.351238,15.614862060546896
2024-01-03,4,18.093643,19.337808227539085
2024-01-03,5,22.201649,22.03370056152346
2024-01-03,6,24.323355,24.113931274414085
2024-01-03,7,25.616674,24.95417175292971
2024-01-03,8,25.899323,25.670327758789085
2024-01-03,9,26.292873,26.227624511718773
2024-01-03,10,26.611784,26.286172485351585
2024-01-03,11,26.121296,25.991387939453148
2024-01-03,12,25.06722,24.822793579101585
2024-01-03,13,23.166153,22.96595153808596
2024-01-03,14,21.55414,21.234552001953148
2024-01-03,15,20.056025,19.930780029296898
2024-01-03,16,19.001734,18.73084411621096
2024-01-03,17,17.81376,17.678811645507835
2024-01-03,18,16.944122,16.797647094726585
2024-01-03,19,16.326149,16.303491210937523
2024-01-03,20,16.015263,16.039453125000023
2024-01-03,21,15.910591,15.778649902343771
2024-01-03,22,15.6626425,15.4975524902344
2024-01-03,23,15.422,15.192895507812523
2024-01-04,0,15.239562,14.91480407714846
2024-01-04,1,14.9527025,14.70435485839846
2024-01-04,2,15.503713,14.504678344726583
2024-01-04,3,16.506176,15.563775634765648
2024-01-04,4,18.110617,18.40427551269533
2024-01-04,5,21.248302,20.868493652343773
2024-01-04,6,22.985197,22.93836364746096
2024-01-04,7,24.446758,24.281091308593773
2024-01-04,8,25.389362,25.390969848632835
2024-01-04,9,26.090935,26.04621276855471
2024-01-04,10,26.441715,26.15436706542971
2024-01-04,11,26.08697,25.689385986328148
2024-01-04,12,24.769938,24.28064880371096
2024-01-04,13,22.530293,22.0004821777344
2024-01-04,14,20.388262,20.32337341308596
2024-01-04,15,19.264631,18.976235961914085
2024-01-04,16,18.052137,17.76429138183596
2024-01-04,17,16.90392,16.659906005859398
2024-01-04,18,15.91541,15.842065429687525
2024-01-04,19,15.37357,15.281457519531273
2024-01-04,20,15.069853,15.00115356445315
2024-01-04,21,14.968098,14.824670410156273
2024-01-04,22,14.855309,14.647943115234398
2024-01-04,23,14.724295,14.45301208496096
