date,hour,predicted_temperature,actual_temperature
2024-01-01,0,15.262606867691773,14.488336181640648
2024-01-01,1,15.143171224973816,14.245996093750025
2024-01-01,2,15.735803657395465,14.143945312500025
2024-01-01,3,17.203383949412206,15.93872985839846
2024-01-01,4,19.290889844506925,19.76709899902346
2024-01-01,5,21.45030900640531,22.68087158203128
2024-01-01,6,23.18145343265441,24.872476196289085
2024-01-01,7,24.307389170823217,26.002465820312523
2024-01-01,8,24.96584657114918,26.792581176757835
2024-01-01,9,25.357511186149917,27.34870300292971
2024-01-01,10,25.504231914209267,27.49274597167971
2024-01-01,11,25.239062329140854,27.2199645996094
2024-01-01,12,24.414989762786632,26.17136535644533
2024-01-01,13,23.11160650162873,24.363214111328148
2024-01-01,14,21.634425150574803,22.4687438964844
2024-01-01,15,20.312590562188028,21.170327758789085
2024-01-01,16,19.292350184025228,20.105371093750023
2024-01-01,17,18.510895468016773,19.12024841308596
2024-01-01,18,17.843925990254316,18.265191650390648
2024-01-01,19,17.252653259825756,17.43403015136721
2024-01-01,20,16.78058659817597,16.885064697265648
2024-01-01,21,16.431971684637734,16.456445312500023
2024-01-01,22,16.10357225028875,16.127343750000023
2024-01-01,23,15.686047557440453,15.858193969726583
2024-01-02,0,15.253967453729564,15.61457214355471
2024-01-02,1,15.133657679948843,15.479913330078148
2024-01-02,2,15.725515055047076,15.414849853515648
2024-01-02,3,17.19244198802477,16.72028503417971
2024-01-02,4,19.279434825780505,19.909967041015648
2024-01-02,5,21.43849574678712,22.37619934082033
2024-01-02,6,23.169447597308228,24.42087707519533
2024-01-02,7,24.295363954863518,25.6677185058594
2024-01-02,8,24.953979211172392,26.68039855957033
2024-01-02,9,25.34597887092098,27.26435241699221
2024-01-02,10,25.493207178458665,27.43872985839846
2024-01-02,11,25.22870846301554,27.19480285644533
2024-01-02,12,24.405456743658906,26.089166259765648
2024-01-02,13,23.10302750593988,23.995660400390648
2024-01-02,14,21.62691328623166,22.490319824218773
2024-01-02,15,20.30623547012636,21.347528076171898
2024-01-02,16,19.28721455443899,20.288995361328148
2024-01-02,17,18.50701188612529,19.261102294921898
2024-01-02,18,17.841294508161905,18.308679199218773
2024-01-02,19,17.251239732372426,17.100183105468773
2024-01-02,20,16.780321511148014,16.426751708984398
2024-01-02,21,16.432749262007164,15.797235107421898
2024-01-02,22,16.105249967653968,15.255395507812525
2024-01-02,23,15.68844641730054,14.802407836914083
2024-01-03,0,15.256873206519554,14.444070434570335
2024-01-03,1,15.136822740527736,14.202142333984398
2024-01-03,2,15.728660606055472,14.038201904296898
2024-01-03,3,17.195259981449937,15.614862060546898
2024-01-03,4,19.28159012184586,19.337808227539085
2024-01-03,5,21.43962897745036,22.03370056152346
2024-01-03,6,23.16917915232853,24.113931274414085
2024-01-03,7,24.2932989118397,24.95417175292971
2024-01-03,8,24.949712584292268,25.670327758789085
2024-01-03,9,25.339100629992046,26.227624511718773
2024-01-03,10,25.483306997412125,26.286172485351585
2024-01-03,11,25.215380604450363,25.991387939453148
2024-01-03,12,24.388305455918175,24.822793579101585
2024-01-03,13,23.081672859825666,22.96595153808596
2024-01-03,14,21.600996962271424,21.234552001953148
2024-01-03,15,20.27542601846279,19.930780029296898
2024-01-03,16,19.251212048768256,18.73084411621096
2024-01-03,17,18.46555227141035,17.678811645507835
2024-01-03,18,17.79415392819962,16.797647094726585
2024-01-03,19,17.198238774759805,16.303491210937523
2024-01-03,20,16.721329008043828,16.039453125000023
2024-01-03,21,16.367685354630783,15.778649902343773
2024-01-03,22,16.03408849516616,15.497552490234398
2024-01-03,23,15.6112169332855,15.192895507812525
2024-01-04,0,15.173662768512038,14.91480407714846
2024-01-04,1,15.047777198230255,14.70435485839846
2024-01-04,2,15.633984871926533,14.504678344726583
2024-01-04,3,17.095217000830463,15.563775634765648
2024-01-04,4,19.17649880544905,18.40427551269533
2024-01-04,5,21.329861719698645,20.868493652343773
2024-01-04,6,23.05515938620848,22.93836364746096
2024-01-04,7,24.175498589034074,24.281091308593773
2024-01-04,8,24.828649034344348,25.390969848632835
2024-01-04,9,25.21533234287984,26.04621276855471
2024-01-04,10,25.357428393154333,26.15436706542971
2024-01-04,11,25.088016310256208,25.689385986328148
2024-01-04,12,24.260104590253107,24.28064880371096
2024-01-04,13,22.953303381760694,22.0004821777344
2024-01-04,14,21.47313973207744,20.32337341308596
2024-01-04,15,20.148768231910523,18.976235961914085
2024-01-04,16,19.126440111109805,17.76429138183596
2024-01-04,17,18.343344550921746,16.659906005859398
2024-01-04,18,17.675173819484034,15.842065429687525
2024-01-04,19,17.08312814819004,15.281457519531273
2024-01-04,20,16.61070181795356,15.001153564453148
2024-01-04,21,16.262121241633285,14.824670410156273
2024-01-04,22,15.934126564653605,14.647943115234398
2024-01-04,23,15.517350122865745,14.45301208496096
2024-01-05,0,15.086333050139448,14.28724060058596
2024-01-05,1,14.967371427809605,14.159753417968773
2024-01-05,2,15.56083084473563,14.071435546875025
2024-01-05,3,17.02957948953426,15.512597656250025
2024-01-05,4,19.118575888726497,18.38619384765628
2024-01-05,5,21.2797820545603,20.895791625976585
2024-01-05,6,23.012980886344888,22.99947509765628
2024-01-05,7,24.141208397141103,24.043389892578148
2024-01-05,8,24.80216422094265,25.011773681640648
2024-01-05,9,25.196500840829525,25.535485839843773
2024-01-05,10,25.346030180561513,25.707864379882835
2024-01-05,11,25.083765295091077,25.428018188476585
2024-01-05,12,24.262651615411603,24.27546081542971
2024-01-05,13,22.962240313956944,22.16327819824221
2024-01-05,14,21.48800417413937,20.616326904296898
2024-01-05,15,20.1690484026779,19.421182250976585
2024-01-05,16,19.151579830102865,18.332635498046898
2024-01-05,17,18.372748633352103,17.313027954101585
2024-01-05,18,17.708214167725043,16.425836181640648
2024-01-05,19,17.119150468868092,15.656106567382835
2024-01-05,20,16.649032586517457,15.39008483886721
2024-01-05,21,16.302074598258216,15.208352661132835
2024-01-05,22,15.975011170871543,15.041848754882835
2024-01-05,23,15.558476243443087,14.80805358886721
2024-01-06,0,15.127019960023823,14.570581054687525
2024-01-06,1,15.006954818481073,14.318383789062525
2024-01-06,2,15.598669655301636,14.106042480468773
2024-01-06,3,17.065061818043525,15.369744873046898
2024-01-06,4,19.151124178656,18.01998291015628
2024-01-06,5,21.308858108654306,20.42231140136721
2024-01-06,6,23.03809108638531,22.485635375976585
2024-01-06,7,24.161908939904077,23.782754516601585
2024-01-06,8,24.818065748691783,24.83786926269533
2024-01-06,9,25.207271931807348,25.45630798339846
2024-01-06,10,25.35139968653986,25.660272216796898
2024-01-06,11,25.083523969590775,25.34078369140628
2024-01-06,12,24.256653458754784,24.0666442871094
2024-01-06,13,22.950403621869082,21.81849060058596
2024-01-06,14,21.47031186893787,20.279580688476585
2024-01-06,15,20.145547247686075,19.195901489257835
2024-01-06,16,19.12237853355826,18.418542480468773
2024-01-06,17,18.33801523221537,17.92572937011721
2024-01-06,18,17.668173075828733,17.658792114257835
2024-01-06,19,17.07407922656071,16.928201293945335
2024-01-06,20,16.599258054384162,16.614526367187523
2024-01-06,21,16.247968407129097,16.22968444824221
2024-01-06,22,15.916984594092092,15.839685058593773
2024-01-06,23,15.496974897492027,15.498452758789083
2024-01-07,0,15.062518579747493,15.274621582031273
2024-01-07,1,14.939951929079124,14.960916137695335
2024-01-07,2,15.52968171567399,14.76929626464846
2024-01-07,3,16.99461663771339,15.895547485351583
2024-01-07,4,19.079753947692257,18.211953735351585
2024-01-07,5,21.237092732868238,20.6110778808594
2024-01-07,6,22.96645233687976,22.714624023437523
2024-01-07,7,24.0909053547749,23.773110961914085
2024-01-07,8,24.74818777796281,24.999078369140648
2024-01-07,9,25.138986896221503,25.58884582519533
2024-01-07,10,25.285146628166814,25.836022949218773
2024-01-07,11,25.019708917458228,25.692895507812523
2024-01-07,12,24.19564559896478,24.827416992187523
2024-01-07,13,22.89253240878171,23.15082702636721
2024-01-07,14,21.415864691231818,21.96701965332033
2024-01-07,15,20.09476726587956,21.097253417968773
2024-01-07,16,19.075462700518298,20.640542602539085
2024-01-07,17,18.29511287188829,20.242227172851585
2024-01-07,18,17.629385375008734,20.08289489746096
2024-01-07,19,17.039459634260552,18.9836364746094
2024-01-07,20,16.568813271266595,18.6494079589844
2024-01-07,21,16.22165970536217,18.267724609375023
2024-01-07,22,15.894729547990117,18.053369140625023
2024-01-07,23,15.478649834656938,17.845513916015648
2024-01-08,0,15.047961891677295,17.99659118652346
2024-01-08,1,14.92896794715381,18.035729980468773
2024-01-08,2,15.522044604261371,18.13935241699221
2024-01-08,3,16.99007397675362,18.911431884765648
2024-01-08,4,19.078030211445338,20.36976013183596
2024-01-08,5,21.23789322080373,21.9626403808594
2024-01-08,6,22.969467929820084,23.5261169433594
2024-01-08,7,24.09581789816771,24.106301879882835
2024-01-08,8,24.754675450991908,25.205865478515648
2024-01-08,9,25.146729009074722,26.0959411621094
2024-01-08,10,25.29382780326737,26.579522705078148
2024-01-08,11,25.02902306292418,26.36072692871096
2024-01-08,12,24.20530005855372,25.523843383789085
2024-01-08,13,22.902252229419307,23.887857055664085
2024-01-08,14,21.425396537436857,22.895669555664085
2024-01-08,15,20.10388252783476,22.257836914062523
2024-01-08,16,19.083959747508604,22.0424743652344
2024-01-08,17,18.302818783458108,21.5373474121094
2024-01-08,18,17.636157475219964,20.97678527832033
2024-01-08,19,17.045186808477197,20.31037292480471
2024-01-08,20,16.57341674886944,19.99903259277346
2024-01-08,21,16.225093063447005,19.822045898437523
2024-01-08,22,15.896978047274615,19.31516418457033
2024-01-08,23,15.479729440506388,19.254678344726585
2024-01-09,0,15.047918177202753,18.867791748046898
2024-01-09,1,14.927874655212849,18.623193359375023
2024-01-09,2,15.520001401463205,18.442224121093773
2024-01-09,3,16.98720316551891,19.277917480468773
2024-01-09,4,19.074472708423784,20.92670593261721
2024-01-09,5,21.233804468388445,22.64182434082033
2024-01-09,6,22.965014229901158,24.24762878417971
2024-01-09,7,24.09117309364001,26.3151794433594
2024-01-09,8,24.750017436690964,27.26929626464846
2024-01-09,9,25.14223564273259,27.947106933593773
2024-01-09,10,25.289672299144243,28.1003356933594
2024-01-09,11,25.025369401181457,27.900781250000023
2024-01-09,12,24.20229891698484,26.93653259277346
2024-01-09,13,22.900037495219127,25.206216430664085
2024-01-09,14,21.424082039523785,24.1533142089844
2024-01-09,15,20.10355863834516,23.046243286132835
2024-01-09,16,19.084689897960768,22.15500793457033
2024-01-09,17,18.304636310458797,21.75754699707033
2024-01-09,18,17.639063192270754,21.2580505371094
2024-01-09,19,17.04914734177302,19.570184326171898
2024-01-09,20,16.578363365470892,19.256707763671898
2024-01-09,21,16.23092077848131,18.987725830078148
