changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse_2024
0.001,0.01,additive,2.1711282153272307
0.001,0.01,multiplicative,2.1782435025054863
0.001,0.1,additive,2.169029152771869
0.001,0.1,multiplicative,2.1788234306076375
0.001,1.0,additive,2.171883918438419
0.001,1.0,multiplicative,2.1778191683906742
0.001,10.0,additive,2.1698626646441284
0.001,10.0,multiplicative,2.178150793482737
0.01,0.01,additive,2.1590073096588522
0.01,0.01,multiplicative,2.2397555039999344
0.01,0.1,additive,2.157534837512527
0.01,0.1,multiplicative,2.263517364075554
0.01,1.0,additive,2.158102909765051
0.01,1.0,multiplicative,2.256482932070671
0.01,10.0,additive,2.1579997399395765
0.01,10.0,multiplicative,2.2449410146430084
0.1,0.01,additive,2.34426899615514
0.1,0.01,multiplicative,4.948633974535895
0.1,0.1,additive,2.3405019309033395
0.1,0.1,multiplicative,5.0673928271220126
0.1,1.0,additive,2.33461146999061
0.1,1.0,multiplicative,4.912414157862008
0.1,10.0,additive,2.340154999943309
0.1,10.0,multiplicative,4.972545395004845
0.5,0.01,additive,2.4164297609503675
0.5,0.01,multiplicative,5.241218827731384
0.5,0.1,additive,2.4208752907552
0.5,0.1,multiplicative,5.448142213907032
0.5,1.0,additive,2.421262156856514
0.5,1.0,multiplicative,5.55819928671971
0.5,10.0,additive,2.4531206089381823
0.5,10.0,multiplicative,5.349784483673141
