date,hour,predicted_temperature,actual_temperature
2024-01-01,0,16.245539558420987,14.664118
2024-01-01,1,15.685021080779679,14.370996
2024-01-01,2,15.228324524300614,14.239649
2024-01-01,3,16.883484658316426,16.012949
2024-01-01,4,20.606148659034844,19.772959
2024-01-01,5,23.619453114965104,22.676966
2024-01-01,6,25.785129825487772,24.89982
2024-01-01,7,27.002541184003544,26.105982
2024-01-01,8,27.814181288543196,26.925394
2024-01-01,9,28.25624410248454,27.467844
2024-01-01,10,28.390609598613732,27.600168
2024-01-01,11,28.09730856787113,27.333246
2024-01-01,12,27.042227411526216,26.278788
2024-01-01,13,25.191351352595756,24.439386
2024-01-01,14,23.193224170156316,22.505854
2024-01-01,15,21.791634621569205,21.232828
2024-01-01,16,20.66774332103221,20.20498
2024-01-01,17,19.525699286051996,19.245249
2024-01-01,18,18.43701461362801,18.398005
2024-01-01,19,17.658805110384122,17.600046
2024-01-01,20,17.09270167195895,17.043268
2024-01-01,21,16.48345772115466,16.583399
2024-01-01,22,15.924490679034294,16.232813
2024-01-01,23,15.401037786478408,15.975382
2024-01-02,0,16.245539558420987,15.749338
2024-01-02,1,15.685021080779679,15.601007
2024-01-02,2,15.228324524300614,15.537897
2024-01-02,3,16.883484658316426,16.837473
2024-01-02,4,20.606148659034844,19.976374
2024-01-02,5,23.619453114965104,22.436747
2024-01-02,6,25.785129825487772,24.467752
2024-01-02,7,27.002541184003544,25.757563
2024-01-02,8,27.814181288543196,26.778055
2024-01-02,9,28.25624410248454,27.352243
2024-01-02,10,28.390609598613732,27.528574
2024-01-02,11,28.09730856787113,27.298319
2024-01-02,12,27.042227411526216,26.171198
2024-01-02,13,25.191351352595756,24.081598
2024-01-02,14,23.193224170156316,22.574305
2024-01-02,15,21.791634621569205,21.452997
2024-01-02,16,20.66774332103221,20.423761
2024-01-02,17,19.525699286051996,19.423212
2024-01-02,18,18.43701461362801,18.472742
2024-01-02,19,17.658805110384122,17.2662
2024-01-02,20,17.09270167195895,16.60058
2024-01-02,21,16.48345772115466,15.973017
2024-01-02,22,15.924490679034294,15.43313
2024-01-02,23,15.401037786478408,14.974283
2024-01-03,0,16.245539558420987,14.590555
2024-01-03,1,15.685021080779679,14.327143
2024-01-03,2,15.228324524300614,14.145624
2024-01-03,3,16.883484658316426,15.708612
2024-01-03,4,20.606148659034844,19.359293
2024-01-03,5,23.619453114965104,22.043467
2024-01-03,6,25.785129825487772,24.160807
2024-01-03,7,27.002541184003544,25.07136
2024-01-03,8,27.814181288543196,25.756266
2024-01-03,9,28.25624410248454,26.325281
2024-01-03,10,28.390609598613732,26.401407
2024-01-03,11,28.09730856787113,26.100763
2024-01-03,12,27.042227411526216,24.885294
2024-01-03,13,25.191351352595756,22.987436
2024-01-03,14,23.193224170156316,21.318537
2024-01-03,15,21.791634621569205,20.079218
2024-01-03,16,20.66774332103221,18.955454
2024-01-03,17,19.525699286051996,17.922953
2024-01-03,18,18.43701461362801,17.008585
2024-01-03,19,17.658805110384122,16.490992
2024-01-03,20,17.09270167195895,16.217188
2024-01-03,21,16.48345772115466,15.948572
2024-01-03,22,15.924490679034294,15.671381
2024-01-03,23,15.401037786478408,15.378443
2024-01-04,0,16.245539558420987,15.114023
2024-01-04,1,15.685021080779679,14.905527
2024-01-04,2,15.228324524300614,14.721476
2024-01-04,3,16.883484658316426,15.788385
2024-01-04,4,20.606148659034844,18.546854
2024-01-04,5,23.619453114965104,20.979822
2024-01-04,6,25.785129825487772,23.049692
2024-01-04,7,27.002541184003544,24.431482
2024-01-04,8,27.814181288543196,25.545267
2024-01-04,9,28.25624410248454,26.208323
2024-01-04,10,28.390609598613732,26.31257
2024-01-04,11,28.09730856787113,25.818293
2024-01-04,12,27.042227411526216,24.36854
2024-01-04,13,25.191351352595756,22.066889
2024-01-04,14,23.193224170156316,20.419077
2024-01-04,15,21.791634621569205,19.116861
2024-01-04,16,20.66774332103221,17.951792
2024-01-04,17,19.525699286051996,16.861078
2024-01-04,18,18.43701461362801,16.011988
2024-01-04,19,17.658805110384122,15.44552
2024-01-04,20,17.09270167195895,15.13006
2024-01-04,21,16.48345772115466,14.95553
2024-01-04,22,15.924490679034294,14.798334
2024-01-04,23,15.401037786478408,14.620981
2024-01-05,0,16.245539558420987,14.470835
2024-01-05,1,15.685021080779679,14.35116
2024-01-05,2,15.228324524300614,14.272608
2024-01-05,3,16.883484658316426,15.717676
2024-01-05,4,20.606148659034844,18.524866
2024-01-05,5,23.619453114965104,21.009073
2024-01-05,6,25.785129825487772,23.10885
2024-01-05,7,27.002541184003544,24.184015
2024-01-05,8,27.814181288543196,25.156305
2024-01-05,9,28.25624410248454,25.65072
2024-01-05,10,28.390609598613732,25.819193
2024-01-05,11,28.09730856787113,25.527628
2024-01-05,12,27.042227411526216,24.341867
2024-01-05,13,25.191351352595756,22.227732
2024-01-05,14,23.193224170156316,20.68664
2024-01-05,15,21.791634621569205,19.53837
2024-01-05,16,20.66774332103221,18.492792
2024-01-05,17,19.525699286051996,17.518106
2024-01-05,18,18.43701461362801,16.64654
2024-01-05,19,17.658805110384122,15.868998
2024-01-05,20,17.09270167195895,15.577585
2024-01-05,21,16.48345772115466,15.386087
